article_id,bias_label,n_comments,mean_polarity,std_polarity,pct_positive,pct_negative,mean_anger,mean_joy,mean_fear
1142706816_la-mayoria-de-los-clones-de-meneame-incumplen-la-licencia,1,3,-0.38164638945211965,0.5712215733488737,0.0,0.6666666666666666,0.08307442534714937,0.258990929229185,0.0011889461311511695
1142943916_gobiernos-software-libre-por-cojones-ya,1,1,-0.29596810042858124,,0.0,0.0,0.004378574434667826,0.0005055914516560733,0.000856860657222569
1142952532_avisos-parroquiales-reales-con-doble-sentido,1,1,-0.7487168032675982,,0.0,1.0,0.003453674726188183,0.0013051290297880769,0.0022718056570738554
1143585486_el-primer-riya-bombing,1,1,-0.2202240191400051,,0.0,0.0,0.0009536158759146929,0.00801754929125309,0.0017626306507736444
1144372671_colgo-imagenes-sexuales-de-su-ex-novia-en-internet,1,1,-0.1277463287115097,,0.0,0.0,0.034430261701345444,0.0014266555663198233,0.0033907294273376465
1144399839_eeuu-planea-reactivar-su-armamento-nuclear,0,1,-0.2759375497698784,,0.0,0.0,0.001330388244241476,0.00797059666365385,0.0030403558630496264
1144963791_nuevo-firefox-1502,0,1,-0.017759501934051514,,0.0,0.0,0.004863210022449493,0.0024916543625295162,0.0017175355460494757
1145710929_las-10-mentiras-que-te-dijo-tu-mama,1,1,-0.05185052007436752,,0.0,0.0,0.06521478295326233,0.001917908899486065,0.0048236967995762825
1145955308_que-es-un-raid,0,2,0.4785481356084347,0.679301298770372,0.5,0.0,0.00047709875798318535,0.15545831026975065,0.001122651738114655
1145957843_las-100-escenas-mas-terrorificas-del-cine,1,1,-0.06670495122671127,,0.0,0.0,0.015517882071435452,0.07004696875810623,0.006694059353321791
1146564003_ubuntu-es-mas-facil-de-instalar-que-windows,1,2,-0.3402954116463661,0.500692337723353,0.0,0.5,0.007251350209116936,0.00951785163488239,0.002458981762174517
1147087627_acabar-con-el-timo-de-los-telefonos-800,0,1,-0.45755354687571526,,0.0,0.0,0.00381457875482738,0.0007346270722337067,0.0023955071810632944
1147254943_videotutoriales-en-espanol-de-casi-todo,1,1,0.280391413718462,,0.0,0.0,0.0012177116004750133,0.007247213739901781,0.0012124102795496583
1147649754_la-insolidaridad-con-la-manifestacion-por-una-vivienda-digna,1,1,-0.7826892305165529,,0.0,1.0,0.014808006584644318,0.005386886186897755,0.004201937932521105
1148049899_se-encuentra-una-rana-en-un-paquete-de-ensalada,1,1,-0.8720369478687644,,0.0,1.0,0.8742229342460632,0.0008042355184443295,0.0018339725211262703
1148431939_para-todas-personas-leen-meneame,1,1,-0.9515312225557864,,0.0,1.0,0.8668992519378662,0.0008379648788832128,0.004785381257534027
1148479897_fresqui-primer-proyecto-web-2.0-espanol-captar-capital,0,1,-0.14928890764713287,,0.0,0.0,0.002227171091362834,0.0009294369956478477,0.001975488616153598
1148928335_libertad-digital-responde-sobre-uso-word,1,1,-0.9183786893263459,,0.0,1.0,0.500907838344574,0.004193863831460476,0.0012625119416043162
1148956832_analisis-examen-informatica-ninos-primer-bachillerato,0,2,-0.9130770530318841,0.03132246389184005,0.0,1.0,0.9493132531642914,0.0005680563990608789,0.001408554264344275
1149015398_marine-norteamericano-relata-matanza-24-civiles-iraquies-14-ellos-menores-entre-1-14-anos,1,1,-0.46438516676425934,,0.0,1.0,0.007731397170573473,0.15466132760047913,0.011784173548221588
1149115457_escuela-espanola-diseno-web-sin-diseno,1,1,-0.9628533646464348,,0.0,1.0,0.5967966914176941,0.006476152688264847,0.051009949296712875
1149200979_mi-padre-colabora-wikipedia,1,1,0.592694578692317,,1.0,0.0,0.0010366042843088508,0.02794720232486725,0.0008754936279729009
1149673918_continua-avanzando-desarrollo-kde4,1,1,0.7095526214689016,,1.0,0.0,0.0007802925538271666,0.0075169894844293594,0.0012589776888489723
1149871007_condon-mas-antiguo-de-historia,1,1,-0.19945574924349785,,0.0,0.0,0.02092912793159485,0.0047673252411186695,0.0009061891469173133
1149943306_antropologos-encuentran-posibles-palabras-euskera-siglo-iii,0,1,-0.8154155733063817,,0.0,1.0,0.9588915705680847,0.0005644732736982405,0.0004846166120842099
1150116676_docu-tve-de-acceso-libre-p2p,0,1,-0.04679875075817108,,0.0,0.0,0.003094856394454837,0.003144962014630437,0.000821173598524183
