article_id,bias_label,n_comments,duration_hours,early_karma_mean,late_karma_mean,karma_drift,early_comment_len,late_comment_len,karma_slope,first_10_hours
1149200979_mi-padre-colabora-wikipedia,1,26,42.224444444444444,0.0,0.0,0.0,95.66666666666667,117.16666666666667,0.0,0.3238888888888889
1149201854_juega-al-lemmings-online,1,11,23.195833333333333,0.0,0.0,0.0,20.0,129.0,0.0,15.057222222222222
1149704716_manipulacion-mala-praxis-estudios-financiados-gobierno,1,13,20.6925,0.0,0.0,0.0,146.66666666666666,88.66666666666667,0.0,11.580277777777777
1149718660_meneame-code-principales-webs-espana,0,15,18.621388888888887,0.0,0.0,0.0,351.6666666666667,284.3333333333333,0.0,13.71888888888889
1149738132_google-interesada-comprar-you-tube,0,11,12.10361111111111,0.0,0.0,0.0,33.5,79.5,0.0,4.981944444444444
1149801907_20-como-todo-mundo-debe-conocer,0,13,13.800277777777778,0.0,0.0,0.0,65.66666666666667,104.66666666666667,0.0,8.018888888888888
1149838185_me-enlazan-efecto-real-salir-meneame-fresqui-pais,0,14,8.018055555555556,0.0,0.0,0.0,274.6666666666667,327.3333333333333,0.0,2.5394444444444444
1149871007_condon-mas-antiguo-de-historia,1,32,9.072222222222223,0.0,0.0,0.0,19.25,115.375,0.0,0.7591666666666667
1149943306_antropologos-encuentran-posibles-palabras-euskera-siglo-iii,0,13,28.211944444444445,0.0,0.0,0.0,127.33333333333333,790.6666666666666,0.0,7.643055555555556
1149959747_congreso-aprueba-resolucion-favor-sahara-occidental-voto-contra-psoe,0,16,39.37888888888889,0.0,0.0,0.0,373.0,164.25,0.0,1.8916666666666666
1150116676_docu-tve-de-acceso-libre-p2p,0,16,79.05388888888889,0.0,0.0,0.0,64.5,319.5,0.0,6.8875
1150149382_ballenas-en-peligro,1,16,41.49861111111111,0.0,0.0,0.0,208.25,524.0,0.0,16.649444444444445
1150268808_varios-paises-europeos-prohiben-homosexuales-donar-sangre,1,39,25.4075,0.0,0.0,0.0,226.88888888888889,390.0,0.0,1.3119444444444444
1150272882_juez-deja-libertad-atracadores-15-bancos-detenidos-infraganti-geo,1,14,33.31055555555555,0.0,0.0,0.0,87.33333333333333,160.33333333333334,0.0,11.149444444444445
1150285877_y-tu-que-tal-aparcas,1,22,11.488611111111112,0.0,0.0,0.0,39.8,49.4,0.0,3.595
1150297810_efecto-petardas.com,1,20,25.90222222222222,0.0,0.0,0.0,85.0,133.4,0.0,2.618611111111111
1150440475_submarino-portaaviones-japones,1,10,8.903888888888888,0.0,0.0,0.0,62.5,6.0,0.0,8.903888888888888
1150541224_wikipedia-revisa-politica-cualquiera-puede-editar,0,14,15.723611111111111,0.0,0.0,0.0,138.66666666666666,302.3333333333333,0.0,4.522777777777778
1150542420_test-de-aptitud-inteligencia,0,30,29.466666666666665,0.0,0.0,0.0,12.142857142857142,168.14285714285714,0.0,11.090833333333334
1150553487_l.a.s.e.r-conoceis-algo-mas-versatil,0,23,49.980555555555554,0.0,0.0,0.0,104.0,67.8,0.0,1.0533333333333332
1150559824_ropa-puede-contener-sustancias-quimicas-son-conocidos-cancerigenos-greenpeace,0,11,22.164166666666667,0.0,0.0,0.0,70.0,367.5,0.0,22.114444444444445
1150774350_innovador-banner-reacciona-movimiento-raton,1,28,17.162777777777777,0.0,0.0,0.0,86.0,155.42857142857142,0.0,6.196111111111111
1150875251_gigantes-industria-intentaran-crear-distribucion-linux-para-dispositivos-moviles-global,0,14,143.91472222222222,0.0,0.0,0.0,87.33333333333333,228.66666666666666,0.0,13.688333333333333
