user,total_articles_commented,bias_exposure_rate,n_biased_articles,n_non_biased_articles,bias_category,outlet_diversity
--136324--,35,0.5428571428571428,19,16,mixed,28
--141190--,11,1.0,11,0,very_high_bias,10
--135824--,71,0.6056338028169014,43,28,high_bias,18
takamura,400,0.515,206,194,mixed,134
trol,15,0.6666666666666666,10,5,high_bias,11
Viruso,25,0.72,18,7,high_bias,24
Shadowman,24,0.5416666666666666,13,11,mixed,17
allyourbasearebelongtous,17,0.47058823529411764,8,9,mixed,13
jaimenexo,30,0.6,18,12,mixed,22
nomentiendes,13,0.6153846153846154,8,5,high_bias,9
scaba,18,0.7222222222222222,13,5,high_bias,16
alfre2,26,0.7307692307692307,19,7,high_bias,19
Rudu,12,0.5,6,6,mixed,10
--141681--,21,0.7142857142857143,15,6,high_bias,14
GatoSamurai,20,0.9,18,2,very_high_bias,16
--139664--,14,0.8571428571428571,12,2,very_high_bias,9
EdmundoDantes,230,0.5391304347826087,124,106,mixed,121
Laslo,41,0.5853658536585366,24,17,mixed,33
--133567--,24,0.7916666666666666,19,5,high_bias,14
Kaledorn,55,0.509090909090909,28,27,mixed,42
--141927--,148,0.5945945945945946,88,60,mixed,84
--141578--,139,0.5755395683453237,80,59,mixed,71
SoryRules,110,0.6909090909090909,76,34,high_bias,70
Jack_Herer,64,0.65625,42,22,high_bias,45
--98075--,13,0.23076923076923078,3,10,low_bias,9
mandelbr0t,77,0.5064935064935064,39,38,mixed,53
AntonioDera,62,0.7096774193548387,44,18,high_bias,50
Kanda,10,0.5,5,5,mixed,10
--142318--,34,0.7352941176470589,25,9,high_bias,23
Moreno81,103,0.6504854368932039,67,36,high_bias,66
--127171--,375,0.6186666666666667,232,143,high_bias,167
--142352--,17,0.47058823529411764,8,9,mixed,11
juankchojin,62,0.5806451612903226,36,26,mixed,44
nolohepodidoresistir,56,0.6071428571428571,34,22,high_bias,23
Calgar,136,0.7941176470588235,108,28,high_bias,61
architrepa,17,0.8235294117647058,14,3,very_high_bias,14
sirganor,25,0.56,14,11,mixed,12
AngelCG,19,0.631578947368421,12,7,high_bias,16
neno0,30,0.6666666666666666,20,10,high_bias,27
rcgarcia,89,0.6404494382022472,57,32,high_bias,60
DDJ,73,0.8493150684931506,62,11,very_high_bias,47
Golan_Trevize,74,0.7567567567567568,56,18,high_bias,57
AntonPirulero,39,0.5641025641025641,22,17,mixed,34
sirguy,22,0.7727272727272727,17,5,high_bias,15
batiscafo,63,0.6349206349206349,40,23,high_bias,42
Mortis,33,0.696969696969697,23,10,high_bias,24
angelaB,12,0.75,9,3,high_bias,11
--141674--,11,0.8181818181818182,9,2,very_high_bias,2
--140959--,33,0.7878787878787878,26,7,high_bias,23
--141956--,11,0.5454545454545454,6,5,mixed,10
RogerDF,44,0.9090909090909091,40,4,very_high_bias,8
sita,16,0.625,10,6,high_bias,11
--138754--,34,0.5882352941176471,20,14,mixed,27
tARQ,29,0.7931034482758621,23,6,high_bias,19
--125770--,140,0.7,98,42,high_bias,77
festuc,164,0.4695121951219512,77,87,mixed,49
Badaloni,57,0.6491228070175439,37,20,high_bias,36
--127397--,96,0.5833333333333334,56,40,mixed,66
--97909--,10,0.7,7,3,high_bias,9
ghaiteiro,19,0.631578947368421,12,7,high_bias,17
--139155--,91,0.7142857142857143,65,26,high_bias,57
disjoint,11,0.6363636363636364,7,4,high_bias,8
Kenshiro82,69,0.9565217391304348,66,3,very_high_bias,12
--139210--,68,0.7058823529411765,48,20,high_bias,55
bolofly,18,0.8333333333333334,15,3,very_high_bias,15
--141212--,101,0.5148514851485149,52,49,mixed,51
--141742--,56,0.6785714285714286,38,18,high_bias,19
subzeta,33,0.6666666666666666,22,11,high_bias,26
--140414--,19,0.7368421052631579,14,5,high_bias,15
silencer,458,0.6397379912663755,293,165,high_bias,216
jomi_mc,31,0.5161290322580645,16,15,mixed,27
--141871--,178,0.5955056179775281,106,72,mixed,99
--58072--,102,0.5196078431372549,53,49,mixed,61
--49779--,60,0.36666666666666664,22,38,low_bias,26
ipanies,681,0.6020558002936858,410,271,high_bias,169
Pioner,59,0.4067796610169492,24,35,mixed,37
--135775--,17,0.5882352941176471,10,7,mixed,13
--142954--,13,0.46153846153846156,6,7,mixed,10
clickhere,10,0.9,9,1,very_high_bias,8
japeto,79,0.759493670886076,60,19,high_bias,24
xco,36,0.5,18,18,mixed,24
arerreh,12,0.9166666666666666,11,1,very_high_bias,2
--136007--,158,0.4810126582278481,76,82,mixed,44
mosisom,125,0.624,78,47,high_bias,77
Nobodyatall,133,0.7218045112781954,96,37,high_bias,69
rarmas,11,0.6363636363636364,7,4,high_bias,10
morzilla,89,0.6741573033707865,60,29,high_bias,54
--126578--,27,0.6296296296296297,17,10,high_bias,14
berpre,38,0.7368421052631579,28,10,high_bias,27
nade,12,0.6666666666666666,8,4,high_bias,10
Shirouhana,66,0.6363636363636364,42,24,high_bias,32
errorconautomata,71,0.5352112676056338,38,33,mixed,34
Unaplus,37,0.6486486486486487,24,13,high_bias,23
reincidente,12,0.75,9,3,high_bias,11
Cetrus,97,0.7010309278350515,68,29,high_bias,72
Maninidra,25,0.68,17,8,high_bias,20
tam,21,0.6190476190476191,13,8,high_bias,17
Davis_,10,0.7,7,3,high_bias,8
Ricewind,10,0.5,5,5,mixed,9
isladelaspalomas,15,0.8,12,3,high_bias,11
--133444--,21,0.6190476190476191,13,8,high_bias,17
Neikon,12,0.75,9,3,high_bias,10
newroz,14,0.9285714285714286,13,1,very_high_bias,11
DoñaGata,239,0.7112970711297071,170,69,high_bias,136
galileonya,24,0.9166666666666666,22,2,very_high_bias,4
--143520--,1059,0.6062322946175638,642,417,high_bias,315
patiskers,11,0.2727272727272727,3,8,low_bias,9
adelgazando,10,0.6,6,4,mixed,8
teresitam,23,0.5217391304347826,12,11,mixed,18
multivac79,13,0.9230769230769231,12,1,very_high_bias,2
