outlet,article_count,bias_rate,avg_bias_prob,avg_score,avg_comments,avg_comment_karma,avg_karma_range,avg_pct_negative_karma,avg_unique_commenters
elespanol.com,132,0.7196969696969697,0.7029799722394355,630.8863636363636,111.75757575757575,3.422711028690511,54.10606060606061,0.0,59.15151515151515
elindependiente.com,49,0.7142857142857143,0.6969501877545702,496.2448979591837,111.93877551020408,2.8024483170130625,50.08163265306123,0.0,59.795918367346935
magnet.xataka.com,44,0.7045454545454546,0.6880427438617599,490.8863636363636,121.38636363636364,2.6332689741972786,47.15909090909091,0.0,63.77272727272727
lavozdegalicia.es,91,0.7032967032967034,0.6923420812952548,473.14285714285717,59.010989010989015,4.9626745467278734,60.31868131868132,0.0005653686972368292,41.582417582417584
publico.es,394,0.682741116751269,0.675298179568945,763.5736040609137,84.45939086294416,3.967219338166428,60.36548223350254,0.00016330876867811487,52.82994923857868
abc.es,161,0.6583850931677019,0.6460751517970832,527.1304347826087,68.24844720496894,3.429522512564551,47.75155279503105,0.0,47.04968944099379
libertaddigital.com,35,0.6571428571428571,0.633375980798155,645.0285714285715,85.54285714285714,3.432031036133393,54.4,0.0,58.25714285714286
elconfidencial.com,352,0.6534090909090909,0.6489110841678418,675.6732954545455,107.1903409090909,3.5051052295482275,57.88636363636363,0.000303661961330086,59.82102272727273
20minutos.es,413,0.648910411622276,0.6520214141749598,504.3607748184019,89.21549636803874,3.29026711200164,49.42130750605327,1.3679703424029767e-05,52.20338983050848
eldiario.es,495,0.6444444444444445,0.637301168167926,776.7030303030303,100.67878787878787,3.793201678781761,57.85050505050505,1.1413570735604635e-05,55.51717171717172
elmundo.es,430,0.6372093023255814,0.6372468194120217,582.5093023255814,70.69302325581396,3.5862790059032843,51.92093023255814,0.0,48.86279069767442
adn.es,76,0.618421052631579,0.594243695267084,420.36842105263156,43.973684210526315,2.392486841602279,25.407894736842106,0.0,33.0
larazon.es,47,0.6170212765957447,0.6313929606447036,610.7021276595744,108.51063829787235,3.545183699820909,55.212765957446805,0.0,64.63829787234043
news.bbc.co.uk,31,0.6129032258064516,0.6345973771906668,328.7741935483871,32.58064516129032,2.4513430205874056,22.838709677419356,0.0,27.967741935483872
bbc.co.uk,48,0.6041666666666666,0.6153874815014811,425.5416666666667,64.375,3.3285639178412594,44.666666666666664,0.0,44.1875
elpais.com,411,0.6034063260340633,0.6090707159737111,503.63260340632604,64.01216545012166,3.537269005461455,41.454987834549875,0.00016822817763062722,42.41119221411192
bbc.com,82,0.5975609756097561,0.5862761355380005,379.6585365853659,88.48780487804878,2.796176815536857,39.24390243902439,0.00020496003279360525,44.36585365853659
noticias.lainformacion.com,111,0.5945945945945946,0.6116251415575158,705.8378378378378,83.09009009009009,4.061771734172185,56.96396396396396,0.0,52.432432432432435
rtve.es,86,0.5930232558139535,0.6138711295504837,555.5930232558139,82.51162790697674,3.204972537296968,48.48837209302326,0.0,49.75581395348837
vozpopuli.com,170,0.5882352941176471,0.5782473816474736,767.1235294117647,91.01176470588236,3.584363838947189,59.588235294117645,0.00015082956259426848,54.18235294117647
lavanguardia.es,115,0.5826086956521739,0.5787499058606994,437.9130434782609,47.904347826086955,3.066696096665081,34.52173913043478,0.0,37.74782608695652
elperiodico.com,103,0.5825242718446602,0.6071526206910013,529.5436893203884,69.42718446601941,3.2038621417938447,43.19417475728155,0.0,43.650485436893206
infolibre.es,33,0.5757575757575758,0.5853671130272701,967.1818181818181,117.60606060606061,4.35538566340107,94.3030303030303,0.0006379585326953748,70.93939393939394
danielmarin.naukas.com,30,0.5666666666666667,0.5764831966099639,190.16666666666666,26.633333333333333,2.213885186337408,12.766666666666667,0.0,17.533333333333335
lavanguardia.com,93,0.5591397849462365,0.5760633704472854,534.0322580645161,97.02150537634408,3.84220207243906,60.483870967741936,0.0010080645161290322,58.505376344086024
